
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-1,-1,-1,-1,-2,-2,-3,93,92,86,1004,1003,1002,7,5,3,13,8,,0.00,6,Snow,30
2010-1-2,-1,-3,-5,-1,-3,-5,100,96,93,1018,1014,1008,7,3,0,13,6,,0.00,6,Fog-Snow,321
2010-1-3,-3,-7,-9,-4,-7,-10,100,95,93,1020,1019,1018,10,4,0,13,5,,0.00,6,Fog-Snow,3
2010-1-4,-4,-4,-5,-6,-6,-7,93,88,80,1011,1010,1010,7,4,1,19,18,,0.00,6,Snow,216
2010-1-5,-3,-3,-4,-4,-4,-6,93,91,86,1007,1007,1006,10,7,5,13,13,,0.00,6,,167
2010-1-6,-6,-9,-9,-6,-8,-10,100,96,93,1005,1005,1005,4,3,3,10,5,,0.00,6,Snow,345
2010-1-7,-2,-4,-7,-3,-4,-7,100,95,93,1014,1009,1005,4,2,0,11,6,,0.00,6,Fog-Snow,277
2010-1-8,-4,-6,-6,-4,-6,-6,100,100,100,1023,1021,1018,4,1,0,10,3,,0.00,6,Fog,20
2010-1-9,0,-1,-1,-1,-2,-3,100,91,80,1024,1022,1018,10,6,1,42,23,64,0.00,6,Snow,49
2010-1-10,1,0,-1,0,-1,-2,100,92,87,1019,1018,1016,6,4,2,47,34,61,0.00,6,Snow,53
2010-1-11,-1,-2,-2,-1,-2,-3,100,96,93,1019,1018,1017,9,3,1,23,10,,0.00,6,Snow,67
2010-1-12,-6,-6,-6,-6,-7,-7,100,96,93,1021,1020,1019,6,5,2,14,6,,0.00,6,Fog,68
