
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-1,3,1,-1,3,-1,-4,100,86,75,1006,996,992,10,10,10,21,13,,0.00,8,Snow,355
2010-1-2,0,-1,-3,-3,-4,-7,87,79,65,1021,1014,1006,10,10,10,23,11,,0.00,7,Snow,283
2010-1-3,1,-2,-5,1,-2,-9,100,92,72,1022,1019,1018,10,7,2,26,11,,3.05,8,Rain-Snow,221
2010-1-4,-2,-7,-11,-7,-8,-12,90,78,67,1021,1019,1015,10,10,10,14,10,,0.00,7,Snow,352
2010-1-5,-4,-9,-14,-8,-12,-16,93,87,71,1015,1010,1005,10,8,1,11,2,,0.00,1,Fog,47
2010-1-6,-4,-8,-12,-7,-9,-13,92,82,71,1007,1005,1004,10,10,10,10,3,,0.00,5,,309
2010-1-7,-3,-6,-8,-6,-7,-10,89,83,74,1015,1010,1008,10,10,6,14,3,,0.00,7,Snow,72
2010-1-8,-1,-3,-4,-6,-8,-8,77,70,61,1016,1015,1014,10,10,10,32,16,45,0.00,5,Snow,36
2010-1-9,-2,-3,-4,-5,-6,-8,86,77,70,1013,1011,1010,10,9,2,27,21,40,0.00,8,Rain-Snow,42
2010-1-10,-2,-3,-4,-3,-4,-6,100,88,73,1017,1014,1010,10,9,3,16,2,,0.76,7,Rain-Snow,31
2010-1-11,-1,-3,-4,-3,-3,-5,100,92,80,1019,1017,1017,10,8,2,6,0,,0.51,6,Rain-Snow,110
2010-1-12,-2,-3,-4,-4,-5,-6,93,87,80,1019,1016,1010,10,9,6,34,11,,0.00,7,Snow,74
2010-1-13,-3,-4,-5,-4,-6,-8,94,85,74,1010,1009,1007,10,7,2,29,19,,0.00,7,Rain-Snow,86
2010-1-14,1,-1,-3,-1,-2,-4,100,94,86,1015,1010,1009,10,7,3,21,10,,0.00,8,,70
2010-1-15,1,-1,-2,-2,-2,-3,90,87,81,1028,1023,1015,10,10,6,14,8,,0.00,8,,117
2010-1-16,-1,-2,-3,-2,-3,-3,100,91,85,1028,1020,1013,10,7,1,23,14,,1.52,8,Snow,100
2010-1-17,5,1,-2,4,1,-2,100,98,81,1024,1013,1010,10,4,1,26,5,37,11.68,8,Fog-Rain-Snow,278
2010-1-18,5,2,0,3,1,-1,100,92,81,1028,1026,1024,10,10,10,14,8,,0.00,7,Rain,260
2010-1-19,2,1,0,1,1,-1,100,99,93,1027,1023,1021,10,6,0,6,2,,0.00,8,Fog-Rain,222
2010-1-20,3,1,-1,2,1,-2,100,97,81,1021,1018,1015,10,4,0,26,5,,0.00,8,Fog,80
2010-1-21,2,1,1,-1,-2,-2,85,81,75,1025,1023,1019,10,10,10,11,3,,0.00,7,,106
2010-1-22,2,0,-2,-1,-2,-4,91,82,75,1028,1026,1025,10,10,10,23,11,,0.00,8,,78
2010-1-23,-2,-2,-3,-3,-4,-4,93,88,81,1028,1026,1025,10,10,10,19,14,,0.00,8,,85
2010-1-24,-1,-1,-2,-1,-2,-4,100,92,80,1025,1025,1024,10,4,2,16,13,,2.29,8,Snow,81
2010-1-25,-1,-2,-3,-2,-3,-4,100,91,80,1033,1028,1025,9,6,2,13,6,,2.29,7,Snow,65
2010-1-26,-1,-4,-9,-3,-7,-12,93,77,60,1040,1036,1033,10,9,6,24,8,35,0.00,5,,35
2010-1-27,-3,-8,-13,-4,-9,-14,93,85,72,1039,1025,1013,10,8,4,23,5,,0.00,5,Snow,217
2010-1-28,3,0,-3,0,-1,-4,100,88,72,1013,1006,1002,10,9,2,34,21,40,0.51,7,Rain-Snow,259
2010-1-29,2,1,0,1,0,-3,100,94,77,1002,991,983,10,9,3,29,18,40,4.32,8,Rain-Snow,228
2010-1-30,1,-2,-4,-1,-3,-7,93,84,75,1002,993,987,10,9,1,32,16,,0.00,7,Rain-Snow,261
2010-1-31,2,-2,-5,-3,-5,-7,100,91,66,1010,1005,1003,10,9,4,21,5,,0.51,7,Snow,221
2010-2-1,1,-3,-8,0,-2,-9,100,90,75,1015,1011,1010,10,6,0,27,11,,0.76,8,Fog-Rain-Snow,239
2010-2-2,2,-2,-6,1,-2,-7,95,88,78,1018,1011,1004,10,10,6,34,16,47,0.76,7,Rain-Snow,225
2010-2-3,3,2,1,2,1,0,100,96,87,1016,1012,1003,10,6,0,27,11,,3.56,8,Fog-Rain-Snow,215
2010-2-4,5,3,1,6,2,1,100,99,93,1016,1015,1012,10,4,1,16,3,,0.51,7,Fog-Rain,79
2010-2-5,3,2,1,2,1,0,100,96,86,1012,1010,1009,10,9,4,21,10,,3.81,7,Rain,79
2010-2-6,4,2,1,4,2,1,100,98,93,1019,1013,1011,10,5,0,13,2,,0.00,8,Fog,2
2010-2-7,4,1,-2,2,1,-3,100,90,80,1022,1020,1018,10,10,9,14,6,,0.00,7,,22
2010-2-8,-2,-3,-4,-4,-6,-7,87,83,77,1018,1013,1008,10,9,8,26,13,,0.00,8,,69
2010-2-9,-4,-4,-5,-7,-8,-9,86,78,73,1008,1007,1006,10,10,10,21,13,,0.00,8,,35
2010-2-10,-2,-4,-7,-6,-8,-10,86,76,55,1011,1009,1008,10,9,6,13,5,,0.00,6,Snow,355
2010-2-11,-1,-3,-6,-4,-7,-9,93,79,69,1012,1010,1009,10,9,4,21,13,29,0.00,7,Snow,12
2010-2-12,0,-1,-3,-4,-4,-6,87,78,69,1018,1015,1012,10,10,9,21,13,32,0.00,7,Snow,4
2010-2-13,-1,-3,-4,-4,-6,-7,93,81,69,1018,1017,1016,10,9,6,13,6,,0.00,7,Snow,9
2010-2-14,-2,-4,-6,-4,-4,-6,100,93,80,1016,1014,1013,10,5,2,10,2,,1.27,7,Snow,143
2010-2-15,-1,-3,-4,-3,-4,-5,100,93,80,1013,1010,1007,10,7,2,11,6,,0.25,8,Snow,141
2010-2-16,1,-1,-3,-2,-4,-8,100,89,65,1007,1006,1001,10,8,4,16,5,,0.00,4,Snow,82
2010-2-17,2,-1,-4,-1,-4,-7,87,74,64,1000,996,995,10,10,9,23,10,,0.00,7,Rain,81
2010-2-18,7,3,0,3,1,-2,100,92,71,1001,998,995,10,6,2,14,2,,1.52,7,Rain,186
2010-2-19,4,2,0,3,2,-2,100,96,65,1000,996,993,10,6,1,16,2,,0.00,5,Fog-Rain,229
2010-2-20,4,1,-3,1,-1,-4,100,85,70,1003,1000,999,10,10,9,19,8,,0.00,5,Rain,231
2010-2-21,3,1,-1,3,1,-2,100,95,87,1003,1002,999,10,9,2,19,6,,1.02,8,Snow,188
2010-2-22,9,4,-1,8,3,0,100,96,83,999,995,991,10,10,6,19,3,,1.78,8,Rain,147
2010-2-23,10,8,6,10,7,4,100,97,81,998,994,992,10,9,1,19,6,,7.11,8,Rain,197
2010-2-24,12,8,5,9,7,5,100,92,72,1002,1001,999,10,9,2,26,5,,2.29,7,Rain-Thunderstorm,195
2010-2-25,12,9,7,8,6,3,100,89,57,1001,997,993,10,10,9,23,16,,2.29,8,Rain,173
2010-2-26,11,7,2,8,5,0,100,86,63,1005,995,991,10,10,9,45,21,61,2.03,7,Rain-Thunderstorm,227
2010-2-27,12,6,0,4,2,-1,93,75,51,1008,1005,995,10,10,10,26,11,35,0.00,4,,206
2010-2-28,13,9,5,8,4,0,100,85,52,999,991,985,10,10,9,85,18,89,16.26,8,Rain,135
2010-3-1,8,4,1,3,1,-2,84,71,51,1016,1008,1000,10,10,10,32,21,47,205.49,7,Rain,270
2010-3-2,8,3,-1,0,-2,-3,92,72,45,1026,1022,1017,10,10,10,21,6,,14630.40,2,,335
2010-3-3,7,2,-2,3,-2,-6,96,71,48,1026,1022,1018,10,10,9,21,11,29,3515.11,0,,50
2010-3-4,6,2,-1,-4,-6,-9,70,54,34,1023,1019,1016,10,10,10,23,14,37,0.00,1,,29
2010-3-5,4,-1,-4,-1,-6,-12,95,69,36,1027,1022,1017,10,9,4,29,11,40,0.00,4,Snow,273
2010-3-6,1,-1,-3,1,-2,-9,100,88,54,1029,1016,1013,10,7,0,32,18,42,2.03,7,Fog-Rain-Snow,327
2010-3-7,2,-1,-4,-8,-9,-12,69,56,41,1033,1031,1030,10,10,10,26,18,37,0.00,0,,58
2010-3-8,2,-1,-4,-8,-9,-12,66,55,46,1030,1027,1024,10,10,10,23,13,34,0.00,1,,52
2010-3-9,2,-1,-4,-7,-10,-13,74,54,36,1027,1025,1024,10,10,10,29,19,47,0.00,0,,54
2010-3-10,6,2,-2,-7,-10,-13,54,42,33,1026,1021,1018,10,10,10,39,24,58,0.00,1,,53
2010-3-11,6,2,-2,-5,-8,-10,73,50,33,1019,1017,1015,10,10,10,26,11,,0.00,2,,12
2010-3-12,6,2,-2,1,-2,-6,87,78,60,1023,1020,1018,10,9,6,11,6,,0.00,7,Rain-Snow,266
2010-3-13,7,4,2,1,0,-1,83,73,62,1026,1025,1022,10,10,9,26,13,34,0.00,8,,285
2010-3-14,7,6,4,3,1,-1,93,74,58,1026,1023,1022,10,10,10,27,18,45,0.00,8,Rain,270
2010-3-15,10,7,3,4,2,-1,87,78,55,1025,1023,1020,10,10,10,27,18,39,0.00,7,Rain,286
2010-3-16,8,6,1,4,3,-1,93,82,64,1029,1024,1021,10,10,10,26,14,35,0.25,7,Rain,287
2010-3-17,13,7,1,3,1,0,99,76,45,1029,1027,1025,10,10,10,16,3,,0.00,3,,243
2010-3-18,17,9,2,3,1,-1,87,61,35,1026,1023,1020,10,10,10,13,2,,0.00,0,,156
2010-3-19,18,12,6,7,4,1,75,61,47,1022,1020,1018,10,10,10,23,5,,0.00,4,,232
2010-3-20,12,,12,11,11,11,91,91,91,1014,1014,1014,10,10,10,13,13,,0.00,8,,230
2010-3-21,,,,,,,,,,,,,,,,,,,,,,
2010-3-22,13,9,4,8,7,3,93,81,60,1023,1023,1021,10,10,10,8,2,,0.00,5,Rain,189
2010-3-23,15,8,2,6,4,2,99,75,52,1023,1021,1017,10,9,4,23,3,,0.00,0,,84
2010-3-24,18,13,7,7,6,4,83,64,43,1017,1013,1011,10,9,6,19,11,,0.00,0,,93
2010-3-25,19,12,6,9,7,4,89,69,49,1011,1009,1007,10,10,10,11,3,,0.00,4,,176
2010-3-26,16,12,6,9,7,6,96,83,59,1010,1008,1003,10,9,1,61,18,84,8.13,7,Rain,237
2010-3-27,11,8,4,7,6,4,100,85,66,1011,1008,1007,10,10,10,27,11,,1.52,7,Rain,230
2010-3-28,12,8,4,7,6,4,99,85,64,1013,1011,1010,10,10,8,26,11,35,1.27,8,Rain,241
2010-3-29,14,11,8,11,9,7,100,90,70,1010,1007,1003,10,10,10,26,11,,1.27,7,Rain,218
2010-3-30,17,12,8,9,7,5,97,79,46,1003,998,994,10,10,9,32,14,45,2.29,5,Rain,204
2010-3-31,12,8,4,6,3,1,90,75,49,1006,1002,998,10,10,8,50,19,66,1.78,6,Rain,236
2010-4-1,9,5,1,1,-1,-3,93,68,43,1018,1012,1006,10,10,10,32,13,40,0.00,3,Rain,244
2010-4-2,11,4,-2,3,0,-2,97,70,41,1019,1016,1012,10,10,10,23,6,29,0.00,3,Rain,149
2010-4-3,11,8,5,8,6,3,100,85,71,1012,1011,1009,10,10,10,32,14,40,5.59,7,Rain,187
2010-4-4,12,8,4,7,6,3,100,85,57,1019,1012,1010,10,10,10,47,14,58,1.52,6,Rain-Thunderstorm,217
2010-4-5,12,8,4,4,2,-1,91,70,42,1029,1026,1020,10,10,10,16,10,,0.00,3,,266
2010-4-6,16,8,1,4,1,-1,90,63,37,1029,1025,1021,10,10,10,19,5,27,0.00,0,,102
2010-4-7,20,14,8,6,3,1,63,50,34,1020,1019,1017,10,10,10,19,13,,0.00,0,,78
2010-4-8,17,12,7,9,7,3,82,69,52,1029,1024,1019,10,10,10,16,6,,0.00,4,,347
2010-4-9,16,11,7,9,4,2,82,63,41,1032,1031,1029,10,10,10,19,10,,0.00,5,,353
2010-4-10,14,11,6,6,2,-1,81,58,36,1030,1028,1026,10,10,8,24,6,29,0.00,4,,16
2010-4-11,10,8,5,2,1,-2,77,64,48,1026,1023,1022,10,10,10,37,16,48,0.25,5,Rain,48
2010-4-12,10,7,4,6,4,0,89,77,65,1022,1019,1018,10,10,10,26,14,39,1.02,8,Rain,36
2010-4-13,12,9,7,7,7,5,100,87,67,1018,1016,1014,10,9,6,24,6,,3.30,8,Rain,50
2010-4-14,14,11,8,7,2,-1,90,58,34,1017,1015,1014,10,10,10,29,10,42,0.00,5,,42
2010-4-15,13,9,5,6,4,-1,89,70,45,1019,1017,1016,10,10,10,23,10,29,0.00,6,Rain,42
2010-4-16,15,11,7,3,2,0,61,51,38,1023,1021,1019,10,10,10,23,10,29,0.00,3,,14
2010-4-17,16,10,3,2,0,-2,72,53,33,1024,1022,1018,10,10,10,16,8,,0.00,0,,52
2010-4-18,19,11,2,3,1,-1,79,49,26,1017,1014,1011,10,10,10,14,5,,0.00,0,,99
2010-4-19,19,12,5,6,3,1,77,51,33,1016,1013,1012,10,10,10,14,5,,0.00,0,,338
2010-4-20,18,11,4,7,2,-2,84,58,29,1017,1015,1012,10,10,9,26,8,50,0.00,1,,298
2010-4-21,11,7,2,2,-1,-4,80,58,39,1020,1018,1017,10,10,10,27,10,35,0.00,2,,323
2010-4-22,13,7,0,-2,-4,-9,79,49,25,1020,1017,1014,10,10,10,14,6,,0.00,0,,39
2010-4-23,18,10,2,-1,-3,-6,66,38,22,1016,1015,1014,10,10,10,16,5,,0.00,0,,85
2010-4-24,22,12,3,2,-1,-3,69,43,20,1021,1019,1016,10,10,9,13,3,,0.00,0,,69
2010-4-25,23,17,10,7,4,2,62,45,31,1023,1021,1020,10,10,10,21,6,,0.00,1,,125
2010-4-26,17,13,9,11,9,7,99,71,53,1026,1024,1021,10,10,6,27,16,42,4.32,5,Rain,296
2010-4-27,21,14,9,8,6,3,84,58,33,1028,1027,1026,10,10,10,19,8,,0.00,2,Rain,1
2010-4-28,21,13,7,7,6,4,84,56,35,1028,1025,1021,10,10,10,13,3,,0.00,0,Rain,126
2010-4-29,24,16,8,12,9,5,84,61,40,1020,1014,1009,10,10,10,11,2,,0.00,1,Rain,172
2010-4-30,19,17,13,13,9,7,80,62,50,1012,1010,1008,10,10,10,35,14,37,0.00,6,Rain,247
2010-5-1,16,13,11,11,10,9,97,84,66,1012,1011,1010,10,10,6,14,5,,1.02,8,Rain,240
2010-5-2,16,12,8,10,9,7,100,87,68,1012,1010,1008,10,10,8,21,5,27,3.56,6,Rain-Thunderstorm,180
2010-5-3,13,10,7,9,7,2,100,88,62,1016,1011,1009,10,6,0,21,5,27,0.76,6,Fog-Rain,282
2010-5-4,13,9,6,6,4,-1,94,72,55,1019,1018,1016,10,10,8,26,11,40,0.00,3,,15
2010-5-5,13,8,4,4,-2,-4,80,50,31,1020,1015,1009,10,10,10,32,16,47,0.51,4,Rain,45
2010-5-6,8,7,6,7,6,4,100,90,85,1008,1003,1002,10,10,8,14,8,,17.27,8,Rain,346
2010-5-7,9,7,5,6,4,4,93,84,71,1010,1007,1004,10,10,10,13,8,,0.25,8,Rain,290
2010-5-8,15,9,4,7,6,3,100,77,49,1011,1010,1009,10,10,6,11,3,,0.00,4,,168
2010-5-9,15,11,6,10,8,4,100,88,63,1011,1009,1007,10,9,4,11,3,,5.84,7,Rain,95
2010-5-10,16,11,6,10,8,6,97,77,59,1009,1007,1006,10,10,10,14,6,,0.00,5,,42
2010-5-11,17,13,9,12,9,6,97,79,55,1009,1005,1002,10,10,9,27,11,,0.51,7,Rain-Thunderstorm,75
2010-5-12,12,10,8,12,7,4,97,80,69,1012,1008,1003,10,10,9,27,14,32,0.00,8,,272
2010-5-13,12,9,7,6,4,-2,87,76,41,1013,1012,1011,10,10,10,14,10,,0.00,8,Rain,344
2010-5-14,11,9,7,8,7,5,96,87,76,1013,1012,1011,10,10,10,14,6,,4.83,8,Rain,347
2010-5-15,12,9,6,7,5,2,100,79,52,1013,1012,1011,10,10,10,21,10,,0.25,7,Rain,347
2010-5-16,17,12,7,6,4,3,85,63,41,1019,1015,1013,10,10,10,23,10,35,0.00,4,,314
2010-5-17,16,11,6,10,8,3,90,77,59,1025,1022,1019,10,10,6,26,8,32,1.78,4,Rain-Thunderstorm,284
2010-5-18,14,10,6,7,6,4,94,76,53,1028,1027,1025,10,10,10,23,11,34,1.52,5,Rain-Thunderstorm,316
2010-5-19,10,8,7,9,7,4,100,90,76,1027,1026,1025,10,9,4,21,11,,13.46,8,Rain,290
2010-5-20,13,11,9,11,8,6,100,84,63,1030,1028,1026,10,10,9,19,3,,2.79,8,Rain,7
2010-5-21,19,14,9,11,9,8,100,79,47,1030,1028,1026,10,10,10,8,2,,0.00,6,Rain,157
2010-5-22,22,16,8,15,11,7,90,68,44,1027,1024,1022,10,10,10,19,6,,0.25,1,Rain-Thunderstorm,15
2010-5-23,24,18,12,14,12,10,91,66,44,1023,1021,1019,10,10,10,14,8,,0.00,1,,341
2010-5-24,26,19,11,15,12,10,94,65,42,1019,1013,1010,10,10,10,26,8,29,0.00,0,,293
2010-5-25,23,18,13,12,11,8,86,59,44,1012,1010,1009,10,10,10,23,6,,0.00,2,Rain,21
2010-5-26,17,14,13,16,13,9,100,94,59,1010,1007,1005,10,8,2,24,6,37,37.59,7,Rain,62
2010-5-27,17,14,11,14,11,9,100,86,63,1011,1008,1006,10,9,2,13,8,,5.33,7,Rain,294
2010-5-28,18,16,12,14,13,7,100,92,54,1018,1012,1010,10,8,1,14,3,,11.94,7,Fog-Rain,268
2010-5-29,20,14,8,12,9,7,93,72,51,1020,1017,1013,10,9,6,19,6,,0.00,2,Rain,190
2010-5-30,18,14,10,14,12,6,100,87,63,1013,1009,1007,10,9,4,37,11,53,15.24,7,Rain,234
2010-5-31,14,11,8,11,9,5,100,88,72,1016,1013,1009,10,10,10,24,13,29,3.30,7,Rain,273
2010-6-1,19,14,9,11,9,8,97,74,50,1017,1015,1013,10,10,10,21,8,,0.00,3,,333
2010-6-2,20,16,12,12,10,9,88,72,50,1018,1015,1014,10,10,10,19,10,37,0.00,6,Rain,345
2010-6-3,23,18,12,11,9,9,87,57,40,1019,1018,1017,10,10,10,14,11,32,0.00,1,,23
2010-6-4,24,18,11,13,11,8,83,61,45,1021,1020,1019,10,10,10,11,5,,0.00,0,,64
2010-6-5,26,18,11,14,11,9,87,61,34,1021,1019,1016,10,10,10,10,2,,0.00,0,Rain,220
2010-6-6,27,20,13,18,15,11,100,78,45,1016,1012,1010,10,10,10,26,5,52,0.25,3,Rain-Thunderstorm,197
2010-6-7,22,18,13,18,14,9,100,79,46,1014,1012,1011,10,10,8,27,10,34,1.02,4,Rain,257
2010-6-8,24,18,11,16,13,9,89,71,52,1011,1008,1007,10,10,10,24,6,32,0.00,3,Rain,216
2010-6-9,28,22,16,18,16,14,99,75,44,1008,1006,1004,10,9,2,32,8,45,17.02,5,Rain-Thunderstorm,356
2010-6-10,28,22,16,19,17,16,100,87,56,1008,1006,1004,10,9,4,35,14,48,10.67,5,Rain-Thunderstorm,11
2010-6-11,26,21,17,18,17,14,100,87,50,1010,1008,1006,10,10,4,47,18,74,9.65,5,Rain-Thunderstorm,211
2010-6-12,23,18,14,16,14,11,94,78,57,1015,1011,1009,10,10,10,27,13,42,0.51,6,Rain,261
2010-6-13,19,15,11,11,10,9,91,70,55,1017,1015,1013,10,10,10,14,8,,0.00,5,,54
2010-6-14,22,17,12,13,11,9,83,62,47,1018,1015,1013,10,8,2,19,8,,0.00,3,,83
2010-6-15,22,17,12,12,11,7,89,61,46,1021,1019,1017,10,9,6,23,10,27,0.00,1,,41
2010-6-16,21,17,13,8,7,6,60,50,38,1021,1019,1017,10,10,10,29,21,47,0.00,0,,51
2010-6-17,18,16,13,15,12,7,94,76,54,1018,1016,1014,10,10,8,23,13,35,12.70,6,Rain,38
2010-6-18,22,18,14,14,11,10,77,67,48,1013,1011,1010,10,10,10,32,14,50,0.00,2,,346
2010-6-19,17,13,9,9,7,6,83,66,48,1010,1009,1008,10,10,10,16,11,29,0.00,5,,324
2010-6-20,18,12,7,8,7,4,90,72,48,1017,1013,1010,10,10,10,16,6,27,0.00,5,,336
2010-6-21,17,13,11,8,6,4,82,64,42,1022,1020,1018,10,10,10,14,10,,0.00,6,,347
2010-6-22,21,14,7,9,7,5,85,58,41,1024,1023,1022,10,10,10,13,8,,0.00,1,,5
2010-6-23,24,16,8,13,9,7,91,62,39,1024,1022,1020,10,10,10,8,3,,0.00,1,,148
