
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-1,0,-1,-2,-1,-3,-4,100,89,86,1008,999,995,10,9,3,21,16,,0.00,7,Snow,4
2010-1-2,1,-2,-5,-1,-3,-6,100,88,75,1017,1014,1008,10,9,6,23,13,,0.00,6,Snow,225
2010-1-3,1,-2,-5,0,-4,-7,100,91,81,1022,1020,1016,10,6,1,19,13,,0.00,6,Snow,325
2010-1-4,-2,-4,-6,-4,-6,-8,93,87,80,1022,1017,1012,10,9,3,23,8,,0.00,6,Snow,217
2010-1-5,-1,-3,-4,-4,-4,-7,93,86,80,1012,1007,1004,10,8,3,19,14,,0.00,6,Snow,159
2010-1-6,-2,-4,-7,-5,-7,-8,93,83,74,1006,1004,1003,10,10,10,16,10,,0.00,5,Fog,151
2010-1-7,-3,-7,-11,-4,-7,-12,100,90,80,1016,1010,1006,10,8,2,13,6,,0.00,4,Fog-Snow,84
2010-1-8,-2,-3,-5,-5,-6,-7,100,83,69,1019,1018,1016,10,9,2,34,18,,0.00,6,,36
2010-1-9,0,-2,-3,-2,-4,-7,93,83,69,1018,1015,1013,10,7,1,37,31,55,0.00,6,Snow,32
2010-1-10,0,-1,-2,-3,-4,-5,93,80,75,1018,1015,1012,10,9,3,24,14,,0.00,7,Snow,37
2010-1-11,0,-1,-2,-1,-3,-4,93,85,75,1018,1017,1017,10,9,4,14,8,,0.00,6,Snow,9
2010-1-12,0,-2,-5,-4,-5,-8,93,79,69,1018,1014,1008,10,8,3,21,10,,0.00,6,Snow,87
2010-1-13,0,-3,-7,-3,-6,-8,93,79,64,1007,1006,1004,10,9,4,32,16,,0.00,6,Snow,113
2010-1-14,5,2,0,0,-1,-3,93,80,70,1013,1008,1006,10,10,8,24,16,,0.00,5,,133
2010-1-15,2,1,1,0,-1,-1,87,85,81,1025,1021,1014,10,9,7,24,14,,0.00,7,,146
2010-1-16,2,1,0,0,-2,-3,93,84,75,1025,1017,1007,10,9,3,37,23,55,0.00,7,Rain-Snow,148
2010-1-17,6,3,1,5,3,0,100,94,87,1022,1013,1007,10,6,1,26,18,,0.00,6,Rain,210
2010-1-18,5,4,4,4,3,3,100,92,87,1026,1024,1022,10,8,3,23,13,,0.00,6,Rain,228
2010-1-19,5,4,4,5,4,3,100,95,87,1024,1022,1020,10,6,1,13,10,,0.00,7,Fog-Rain,247
2010-1-20,6,2,-1,3,0,-2,100,82,61,1019,1015,1013,10,9,5,26,11,,0.00,3,Fog,118
2010-1-21,4,3,2,0,-1,-1,87,75,70,1024,1021,1017,10,10,10,21,13,,0.00,7,Rain,129
