
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-1,-1,-2,-2,-3,-3,-4,93,88,80,1006,999,996,10,8,3,19,16,,0.00,7,Snow,28
2010-1-2,-3,-4,-5,-3,-6,-7,100,90,80,1017,1013,1006,10,5,1,16,11,,0.00,6,Snow,308
2010-1-3,-3,-4,-5,-5,-6,-7,100,91,86,1022,1019,1017,10,6,1,14,10,,0.00,7,Snow,34
2010-1-4,-3,-6,-7,-5,-7,-9,86,83,74,1021,1016,1011,10,10,8,14,8,,0.00,6,Snow,236
2010-1-5,-3,-4,-5,-5,-6,-8,86,83,74,1011,1007,1004,10,10,6,21,13,,0.00,6,Snow,176
2010-1-6,-5,-8,-10,-7,-9,-12,93,88,80,1006,1004,1003,10,7,2,14,10,,0.00,6,Snow,94
2010-1-7,-5,-7,-8,-7,-8,-10,93,91,86,1017,1010,1006,5,3,1,13,6,,0.00,7,Snow,73
2010-1-8,-3,-7,-10,-5,-7,-11,100,92,86,1022,1020,1017,10,3,0,26,8,,0.00,7,Fog-Snow,62
2010-1-9,0,-2,-3,-3,-4,-5,93,83,75,1021,1017,1014,10,8,3,35,26,50,0.00,6,Snow,55
2010-1-10,-1,-2,-2,-1,-3,-4,100,92,80,1017,1016,1014,10,6,2,24,16,,0.00,6,Snow,50
2010-1-11,-1,-3,-6,-1,-4,-7,100,89,80,1019,1018,1017,10,8,1,19,11,,0.00,6,Fog-Snow,86
2010-1-12,-3,-6,-8,-5,-7,-9,100,89,74,1020,1017,1014,10,7,2,26,11,,0.00,4,Fog,98
